Order_ID,Arrival_Time_Min,Arrival_DateTime,Prep_Time_Min,Ready_Time_Min,Ready_DateTime,Courier_ID,Courier_Wait_Min,Pickup_Time_Min,Pickup_DateTime,Travel_Time_Min,Distance_KM,Delivery_Time_Min,Delivery_DateTime,Total_Delivery_Time_Min,Order_Value_LKR
1,0.0,2025-10-28 11:00:00,10.87,10.87,2025-10-28 11:10:52,1,0.0,10.87,2025-10-28 11:10:52,19.07,7.24,29.94,2025-10-28 11:29:56,29.94,2753.0
2,2.31,2025-10-28 11:02:18,15.36,17.68,2025-10-28 11:17:40,2,0.0,17.68,2025-10-28 11:17:40,18.32,7.68,36.0,2025-10-28 11:35:59,33.68,899.16
3,4.54,2025-10-28 11:04:32,13.34,17.88,2025-10-28 11:17:52,3,0.0,17.88,2025-10-28 11:17:52,17.45,6.48,35.33,2025-10-28 11:35:19,30.79,1590.69
4,8.57,2025-10-28 11:08:33,15.98,24.54,2025-10-28 11:24:32,1,5.4,29.94,2025-10-28 11:29:56,15.7,6.09,45.64,2025-10-28 11:45:38,37.08,1620.8
5,11.09,2025-10-28 11:11:05,10.93,22.02,2025-10-28 11:22:01,3,13.31,35.33,2025-10-28 11:35:19,16.42,6.86,51.75,2025-10-28 11:51:45,40.66,553.09
6,18.52,2025-10-28 11:18:31,15.73,34.26,2025-10-28 11:34:15,2,1.74,36.0,2025-10-28 11:35:59,17.65,7.4,53.65,2025-10-28 11:53:39,35.13,2421.99
7,25.99,2025-10-28 11:25:59,18.01,44.01,2025-10-28 11:44:00,1,1.64,45.64,2025-10-28 11:45:38,17.07,6.94,62.71,2025-10-28 12:02:42,36.72,1817.69
8,30.05,2025-10-28 11:30:03,13.15,43.2,2025-10-28 11:43:12,3,8.55,51.75,2025-10-28 11:51:45,18.98,7.86,70.74,2025-10-28 12:10:44,40.68,1781.88
9,36.91,2025-10-28 11:36:54,16.38,53.29,2025-10-28 11:53:17,2,0.36,53.65,2025-10-28 11:53:39,21.67,9.06,75.32,2025-10-28 12:15:19,38.41,1715.34
10,43.02,2025-10-28 11:43:01,13.75,56.76,2025-10-28 11:56:45,1,5.95,62.71,2025-10-28 12:02:42,15.32,6.38,78.03,2025-10-28 12:18:01,35.01,953.66
11,49.03,2025-10-28 11:49:01,19.14,68.16,2025-10-28 12:08:09,3,2.57,70.74,2025-10-28 12:10:44,21.58,8.3,92.32,2025-10-28 12:32:19,43.29,1342.29
12,55.95,2025-10-28 11:55:56,10.73,66.68,2025-10-28 12:06:40,2,8.64,75.32,2025-10-28 12:15:19,19.57,7.9,94.89,2025-10-28 12:34:53,38.94,1340.27
13,60.3,2025-10-28 12:00:17,10.88,71.18,2025-10-28 12:11:10,1,6.85,78.03,2025-10-28 12:18:01,21.28,8.03,99.31,2025-10-28 12:39:18,39.02,1379.78
14,63.43,2025-10-28 12:03:25,15.32,78.75,2025-10-28 12:18:45,3,13.57,92.32,2025-10-28 12:32:19,22.24,9.3,114.55,2025-10-28 12:54:33,51.12,2097.0
15,66.81,2025-10-28 12:06:48,19.64,86.45,2025-10-28 12:26:26,2,8.44,94.89,2025-10-28 12:34:53,21.3,8.25,116.19,2025-10-28 12:56:11,49.38,1709.53
16,74.76,2025-10-28 12:14:45,19.92,94.68,2025-10-28 12:34:40,1,4.64,99.31,2025-10-28 12:39:18,19.44,8.03,118.76,2025-10-28 12:58:45,44.0,610.32
17,77.82,2025-10-28 12:17:49,11.93,89.75,2025-10-28 12:29:45,3,24.8,114.55,2025-10-28 12:54:33,17.56,6.88,132.12,2025-10-28 13:12:07,54.3,1179.82
18,80.63,2025-10-28 12:20:37,14.2,94.83,2025-10-28 12:34:50,2,21.35,116.19,2025-10-28 12:56:11,16.09,6.0,132.27,2025-10-28 13:12:16,51.64,1387.65
19,85.24,2025-10-28 12:25:14,14.33,99.57,2025-10-28 12:39:34,1,19.19,118.76,2025-10-28 12:58:45,15.09,6.07,133.84,2025-10-28 13:13:50,48.61,683.71
20,87.77,2025-10-28 12:27:46,14.04,101.81,2025-10-28 12:41:48,3,30.31,132.12,2025-10-28 13:12:07,24.85,9.7,156.97,2025-10-28 13:36:58,69.2,1681.28
21,93.93,2025-10-28 12:33:56,13.35,107.28,2025-10-28 12:47:16,2,24.99,132.27,2025-10-28 13:12:16,18.48,7.53,150.76,2025-10-28 13:30:45,56.82,2924.22
22,100.44,2025-10-28 12:40:26,14.19,114.63,2025-10-28 12:54:37,1,19.21,133.84,2025-10-28 13:13:50,22.18,9.05,156.02,2025-10-28 13:36:01,55.58,1430.27
23,107.74,2025-10-28 12:47:44,10.78,118.53,2025-10-28 12:58:31,2,32.23,150.76,2025-10-28 13:30:45,23.79,9.07,174.54,2025-10-28 13:54:32,66.8,1796.74
